step,wall_time,tag,type,value
53,1745219494.372386,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7095794081687927
54,1745220361.1484642,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6434892416000366
55,1745221224.4054103,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.44943898916244507
56,1745222085.8662207,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5890238285064697
57,1745222948.8967047,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.4307357370853424
58,1745223809.5726357,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6525163650512695
59,1745224668.2988274,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7729467153549194
60,1745225543.683316,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6595498323440552
61,1745226401.9245954,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7219926714897156
62,1745227259.5802183,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5778156518936157
0,1745171235.4652667,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7080085277557373
1,1745172296.838384,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6032489538192749
2,1745173338.1096559,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6844370365142822
3,1745174233.1132193,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.44738197326660156
4,1745175273.547898,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5193254947662354
5,1745176165.7994936,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7019550800323486
6,1745177057.424945,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.62777179479599
7,1745178097.8278298,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6378873586654663
8,1745179142.3450878,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5691494941711426
9,1745180055.5614715,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7005854845046997
